component	type	description	status	status_description
0	ica	Independent Component	bad	Auto-detected ECG artifact
1	ica	Independent Component	bad	Auto-detected ECG artifact
2	ica	Independent Component	good	n/a
3	ica	Independent Component	bad	Auto-detected EOG artifact
4	ica	Independent Component	bad	Auto-detected ECG artifact
5	ica	Independent Component	bad	Auto-detected ECG artifact
6	ica	Independent Component	bad	Auto-detected ECG artifact
7	ica	Independent Component	bad	Auto-detected ECG artifact
8	ica	Independent Component	bad	Auto-detected ECG artifact
9	ica	Independent Component	good	n/a
10	ica	Independent Component	good	n/a
11	ica	Independent Component	good	n/a
12	ica	Independent Component	bad	Auto-detected ECG artifact
13	ica	Independent Component	good	n/a
14	ica	Independent Component	bad	Auto-detected ECG artifact
15	ica	Independent Component	bad	Auto-detected ECG artifact
16	ica	Independent Component	bad	Auto-detected ECG artifact
17	ica	Independent Component	good	n/a
18	ica	Independent Component	bad	Auto-detected ECG artifact
19	ica	Independent Component	bad	Auto-detected ECG artifact
20	ica	Independent Component	bad	Auto-detected ECG artifact
21	ica	Independent Component	good	n/a
22	ica	Independent Component	good	n/a
23	ica	Independent Component	good	n/a
24	ica	Independent Component	bad	Auto-detected ECG artifact
25	ica	Independent Component	good	n/a
26	ica	Independent Component	good	n/a
27	ica	Independent Component	good	n/a
28	ica	Independent Component	bad	Auto-detected ECG artifact
29	ica	Independent Component	good	n/a
30	ica	Independent Component	good	n/a
31	ica	Independent Component	good	n/a
32	ica	Independent Component	good	n/a
33	ica	Independent Component	good	n/a
34	ica	Independent Component	good	n/a
35	ica	Independent Component	bad	Auto-detected ECG artifact
36	ica	Independent Component	good	n/a
37	ica	Independent Component	good	n/a
38	ica	Independent Component	good	n/a
39	ica	Independent Component	bad	Auto-detected ECG artifact
40	ica	Independent Component	bad	Auto-detected ECG artifact
41	ica	Independent Component	bad	Auto-detected ECG artifact
42	ica	Independent Component	good	n/a
43	ica	Independent Component	bad	Auto-detected ECG artifact
44	ica	Independent Component	bad	Auto-detected ECG artifact
45	ica	Independent Component	bad	Auto-detected ECG artifact
46	ica	Independent Component	bad	Auto-detected ECG artifact
47	ica	Independent Component	good	n/a
48	ica	Independent Component	good	n/a
49	ica	Independent Component	good	n/a
50	ica	Independent Component	bad	Auto-detected ECG artifact
51	ica	Independent Component	good	n/a
52	ica	Independent Component	good	n/a
53	ica	Independent Component	good	n/a
54	ica	Independent Component	good	n/a
55	ica	Independent Component	bad	Auto-detected ECG artifact
56	ica	Independent Component	bad	Auto-detected ECG artifact
57	ica	Independent Component	good	n/a
58	ica	Independent Component	good	n/a
59	ica	Independent Component	bad	Auto-detected ECG artifact
60	ica	Independent Component	good	n/a
61	ica	Independent Component	good	n/a
62	ica	Independent Component	good	n/a
63	ica	Independent Component	bad	Auto-detected ECG artifact
64	ica	Independent Component	good	n/a
65	ica	Independent Component	good	n/a
66	ica	Independent Component	bad	Auto-detected ECG artifact
67	ica	Independent Component	bad	Auto-detected ECG artifact
68	ica	Independent Component	good	n/a
69	ica	Independent Component	bad	Auto-detected ECG artifact
